idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
113,481.9,-2.484,0.465,12.51,7.89,0.2885,0.0963,0.1787,,0
114,394.0,-2.478,0.391,29.91,6.62,0.2732,0.0808,0.2217,,0
115,485.7,-2.228,0.183,14.92,3.1,0.1822,0.0379,0.7319,,1
116,36.9,-0.885,0.469,17.7,7.95,0.1048,0.097,0.3681,,1
117,43.6,0.418,0.576,19.86,9.76,-0.077,0.1192,0.1269,,0
118,13.3,-1.059,0.453,-0.96,7.68,0.1069,0.0938,0.274,,0
119,24.3,-1.889,0.512,4.9,8.67,0.2257,0.1059,0.0691,,0
120,40.2,0.564,0.58,8.19,9.83,0.0888,0.12,0.2627,,0
121,635.5,-1.889,0.472,16.32,8.0,0.286,0.0977,0.0644,,0
122,64.0,1.234,0.656,20.87,11.12,0.0141,0.1358,0.3099,,0
123,478.3,-2.643,0.391,25.25,6.62,0.2512,0.0808,0.2086,,0
124,585.9,-2.662,0.548,26.2,9.29,0.3666,0.1134,0.3877,,1
125,408.8,-2.075,0.231,23.98,3.92,0.1879,0.0479,0.632,,1
126,407.3,-0.156,0.559,39.78,9.47,0.1916,0.1156,0.1621,,0
127,487.5,-1.829,0.361,8.84,6.11,0.3502,0.0746,0.3014,,0
128,57.5,-0.723,0.705,23.28,11.94,0.1254,0.1458,0.0341,,0
129,471.1,-2.469,0.22,13.39,3.73,0.0763,0.0456,0.6594,,1
130,43.8,0.684,0.567,6.57,9.6,0.016,0.1173,0.2568,,0
131,469.8,-0.359,0.602,46.39,10.2,0.5146,0.1245,0.1129,,0
132,622.7,-1.713,0.465,25.94,7.87,0.4678,0.0961,0.0995,,0
133,403.2,-2.244,0.21,28.38,3.56,0.1366,0.0435,0.664,,1
134,397.8,-2.1,0.227,17.27,3.85,0.0723,0.047,0.6535,,1
135,452.9,-1.583,0.227,10.27,3.85,0.0508,0.047,0.5865,,1
136,465.5,-2.055,0.241,10.15,4.09,0.0777,0.0499,0.5698,,1
137,247.5,-2.46,0.25,23.3,4.24,0.2343,0.0518,0.593,,1
138,429.1,-2.501,0.282,16.5,4.78,0.0922,0.0584,0.4966,,1
139,353.8,-2.279,0.34,20.25,5.76,0.4761,0.0703,0.3798,,1
140,51.5,0.372,0.508,10.08,8.61,0.135,0.1052,0.3362,,0
141,341.3,0.854,0.748,22.44,12.68,-0.1877,0.1547,0.0454,,0
142,41.8,1.012,0.557,18.72,9.44,0.0749,0.1152,0.2624,,0
143,412.4,-2.764,0.203,15.97,3.44,0.0054,0.042,0.6749,,1
144,361.0,-2.821,0.368,33.48,6.24,0.3948,0.0761,0.4381,,1
145,162.0,0.538,0.793,15.96,13.44,0.0265,0.1641,0.0622,,0
146,498.5,-2.108,0.172,9.81,2.92,0.1221,0.0356,0.7651,,1
147,394.5,0.006,0.569,40.85,9.64,0.1747,0.1177,0.1625,,0
148,457.0,-0.404,0.605,42.31,10.26,0.4429,0.1253,0.174,,0
149,409.1,-0.643,0.604,43.28,10.24,-0.0133,0.125,0.0845,,0
150,438.6,-0.376,0.617,46.71,10.45,0.4453,0.1276,0.1194,,0
151,22.5,-1.044,0.542,-1.24,9.19,0.2569,0.1122,0.1805,,0
152,0.5,-0.827,0.662,7.26,11.22,0.2417,0.137,0.1259,,0
153,9.7,-0.563,0.475,-0.26,8.05,0.1621,0.0983,0.3001,,0
154,398.1,-0.556,0.572,47.89,9.69,0.0305,0.1183,0.1184,,0
155,245.7,-2.417,0.251,22.38,4.25,0.2537,0.0519,0.6061,,1
156,538.7,-2.168,0.202,10.55,3.42,0.1669,0.0417,0.6505,,1
