idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
181,34.1,0.107,1.015,59.77,19.07,-0.0028,0.2203,0.1121,,0
182,25.8,1.799,0.884,40.85,16.61,-0.0862,0.1919,0.1536,,0
183,8.8,0.858,1.047,47.92,19.66,-0.0704,0.2271,0.1073,,0
184,9.2,1.355,0.849,61.46,15.95,-0.0087,0.1843,0.0969,,0
185,36.4,1.652,1.195,23.69,22.44,0.049,0.2592,0.1696,,0
186,47.0,2.2,1.178,10.33,22.13,0.0601,0.2556,0.1311,,0
187,57.8,1.279,1.216,-7.69,22.84,0.0455,0.2638,0.1498,,0
188,68.7,1.065,1.226,24.57,23.03,0.0982,0.266,0.1891,,0
189,79.7,1.701,1.161,27.67,21.81,-0.0154,0.252,0.0609,,0
190,90.6,-0.242,1.158,20.48,21.76,-0.1112,0.2514,0.0677,,0
191,101.7,0.281,1.227,26.53,23.04,0.2074,0.2662,0.1923,,0
192,201.2,0.22,1.231,38.26,23.12,0.3603,0.2671,0.2382,,0
193,192.9,-0.209,1.252,54.79,23.52,0.4743,0.2717,0.2466,,0
194,162.7,2.076,1.241,20.37,23.32,0.0113,0.2694,0.0385,,0
195,155.5,1.125,1.217,22.2,22.85,0.1398,0.264,0.028,,0
196,148.6,2.097,1.085,34.47,20.38,-0.0127,0.2354,0.0738,,0
197,135.9,0.509,1.102,64.7,20.71,0.0413,0.2392,0.0094,,0
198,129.8,0.128,1.011,52.13,19.0,0.0268,0.2194,0.2669,,0
199,124.3,-1.503,1.284,73.37,24.11,0.4714,0.2785,0.1744,,0
200,98.8,-0.287,1.066,37.77,20.02,0.4071,0.2313,0.1491,,0
201,96.1,0.175,1.133,3.9,21.28,0.2943,0.2458,0.1357,,0
202,94.3,-0.491,1.425,26.16,26.76,0.1061,0.3092,0.0886,,0
203,90.2,-1.041,1.362,14.48,25.58,0.3333,0.2956,0.0567,,0
204,25.6,0.466,1.124,52.12,21.11,0.1478,0.2439,0.0887,,0
205,16.6,1.76,0.874,23.42,16.42,-0.0227,0.1897,0.151,,0
206,4.9,1.577,1.104,30.9,20.74,-0.0701,0.2396,0.0389,,0
207,1.6,0.772,1.179,58.98,22.14,0.0845,0.2557,0.1239,,0
208,45.4,1.958,1.075,17.51,20.2,-0.2198,0.2333,0.2352,,0
209,56.5,1.382,1.126,3.67,21.14,-0.3604,0.2442,0.0876,,0
210,67.6,1.74,1.361,9.54,25.56,-0.0518,0.2953,0.1149,,0
211,78.7,0.32,1.324,27.88,24.86,0.1443,0.2872,0.0855,,0
212,200.8,0.951,0.909,53.66,17.07,0.4661,0.1972,0.1117,,0
213,192.3,0.199,0.992,63.15,18.64,0.3168,0.2153,0.1012,,0
214,183.7,0.769,1.212,37.43,22.77,0.4059,0.2631,0.0169,,0
215,175.3,-0.436,1.072,37.85,20.14,0.2937,0.2327,0.1899,,0
216,97.1,-0.708,1.113,77.14,20.91,0.5315,0.2416,0.1405,,0
217,82.5,0.898,1.236,30.85,23.21,0.2036,0.2681,0.0465,,0
218,80.5,-0.085,1.32,15.91,24.79,0.1194,0.2864,0.1076,,0
219,26.5,1.196,1.206,39.11,22.65,-0.0218,0.2616,0.1193,,0
220,17.5,1.381,1.043,54.43,19.59,0.0154,0.2263,0.1403,,0
221,8.5,1.549,1.111,60.91,20.86,0.0753,0.241,0.2241,,0
222,17.2,0.79,1.118,54.22,20.99,0.1888,0.2425,0.1834,,0
223,13.8,1.278,1.259,59.33,23.64,0.0008,0.2731,0.0241,,0
224,18.8,2.575,1.206,34.56,22.66,-0.0143,0.2617,0.1063,,0
225,47.9,1.681,1.22,7.42,22.92,-0.2476,0.2648,0.172,,0
226,58.6,1.317,1.316,12.33,24.72,-0.1484,0.2856,0.0913,,0
227,69.3,1.81,1.33,27.33,24.97,-0.0134,0.2885,0.1411,,0
228,80.2,1.842,1.314,15.5,24.69,-0.019,0.2852,0.1515,,0
229,102.1,0.24,1.369,1.64,25.72,0.1338,0.2971,0.1795,,0
230,113.1,0.302,1.326,19.1,24.91,-0.1131,0.2878,0.0909,,0
231,192.0,-0.069,1.015,53.48,19.06,0.4202,0.2201,0.1535,,0
232,89.5,0.38,0.97,55.81,18.23,0.3885,0.2105,0.0956,,0
233,84.6,-0.593,1.154,59.51,21.67,0.2865,0.2503,0.266,,0
234,79.9,0.147,1.441,53.0,27.07,0.28,0.3127,0.1719,,0
235,64.6,-0.685,1.214,23.81,22.8,0.0284,0.2634,0.0624,,0
236,60.3,-0.658,1.286,18.2,24.16,0.088,0.2791,0.1057,,0
237,55.6,0.299,1.048,27.23,19.68,-0.08,0.2273,0.0713,,0
238,49.8,1.099,1.224,23.27,22.99,-0.2824,0.2655,0.0867,,0
239,43.6,0.046,1.382,31.97,25.96,-0.0683,0.2998,0.1603,,0
240,18.3,1.793,1.266,39.7,23.78,-0.1028,0.2747,0.1014,,0
241,9.3,2.089,1.045,50.5,19.63,-0.0984,0.2267,0.0422,,0
242,0.3,1.728,1.152,56.89,21.64,0.0003,0.25,0.2868,,0
243,27.6,0.891,1.239,65.16,23.28,0.0743,0.2689,0.0592,,0
244,30.5,2.863,1.203,29.18,22.6,0.2265,0.2611,0.0554,,0
245,53.9,1.365,1.25,19.01,23.48,-0.0553,0.2712,0.1902,,0
246,63.7,1.386,1.339,20.19,25.15,-0.0489,0.2906,0.1529,,0
247,105.1,0.196,1.398,4.73,26.25,0.083,0.3032,0.0997,,0
248,115.8,0.347,1.3,0.36,24.43,-0.1757,0.2822,0.093,,0
249,174.6,0.696,0.902,55.71,16.95,0.3993,0.1958,0.172,,0
250,124.0,0.374,1.281,51.66,24.07,-0.0586,0.2781,0.0536,,0
251,116.6,0.431,1.103,51.73,20.72,-0.0565,0.2393,0.1035,,0
252,89.0,0.493,1.262,67.46,23.71,0.0641,0.2739,0.1989,,0
253,77.1,0.883,1.104,57.24,20.74,0.4277,0.2396,0.0562,,0
254,72.1,-0.772,1.165,72.44,21.89,0.3649,0.2528,0.2749,,0
255,67.2,0.114,1.226,45.31,23.02,0.3403,0.266,0.1146,,0
256,63.0,-0.463,1.337,37.89,25.11,0.6725,0.2901,0.1227,,0
257,53.1,-0.283,1.276,12.82,23.96,0.0753,0.2768,0.0914,,0
258,51.2,-0.685,1.212,23.83,22.77,0.0286,0.2631,0.0607,,0
259,47.5,0.13,1.159,24.1,21.76,0.058,0.2514,0.065,,0
260,38.2,0.872,1.273,25.37,23.91,-0.2861,0.2762,0.075,,0
261,32.1,0.815,1.28,29.43,24.04,-0.2636,0.2778,0.2578,,0
262,7.8,1.396,1.148,79.07,21.56,-0.0579,0.249,0.1066,,0
263,41.5,0.232,1.31,48.78,24.61,0.1367,0.2843,0.0468,,0
264,43.4,1.507,1.272,51.64,23.89,0.384,0.276,0.1216,,0
265,54.4,0.614,1.052,22.84,19.75,0.0555,0.2282,0.2375,,0
266,62.2,1.661,1.092,27.65,20.5,0.1331,0.2369,0.0701,,0
267,70.8,0.725,1.378,10.61,25.88,0.0367,0.299,0.0968,,0
268,99.7,-1.474,1.318,36.59,24.75,-0.0552,0.2859,0.1067,,0
269,109.8,-0.242,1.355,5.56,25.45,-0.1405,0.294,0.0813,,0
270,120.1,-0.358,1.249,0.19,23.45,-0.0308,0.2709,0.0659,,0
271,180.1,1.712,0.83,53.6,15.59,0.4068,0.1801,0.0766,,0
272,172.3,-0.315,1.012,58.83,19.01,0.3079,0.2196,0.0393,,0
273,165.0,0.87,0.9,56.46,16.91,0.3534,0.1953,0.0723,,0
274,157.3,0.338,0.899,50.3,16.89,0.1372,0.1951,0.1623,,0
275,140.0,-0.122,0.885,47.5,16.62,0.0442,0.1919,0.0859,,0
276,114.4,0.554,1.182,50.38,22.19,-0.0929,0.2564,0.0908,,0
277,77.5,0.499,1.088,66.16,20.44,0.1829,0.2362,0.1272,,0
278,71.2,1.048,1.18,52.85,22.16,0.3265,0.2561,0.126,,0
279,54.8,0.058,1.286,31.39,24.15,0.2084,0.279,0.1932,,0
280,49.9,-0.899,1.253,34.95,23.53,0.5737,0.2718,0.0497,,0
281,39.4,-0.633,1.245,16.58,23.39,0.1054,0.2702,0.1339,,0
282,37.6,-1.325,1.072,24.74,20.13,-0.0782,0.2326,0.0377,,0
283,20.5,-0.46,1.336,28.8,25.09,-0.4497,0.2898,0.1489,,0
284,55.4,0.226,1.29,45.53,24.24,-0.2465,0.28,0.2136,,0
285,60.4,1.71,1.021,32.9,19.18,0.1671,0.2215,0.1134,,0
286,65.6,0.714,1.037,40.43,19.48,0.1466,0.225,0.1853,,0
287,72.2,1.013,1.165,33.55,21.88,0.132,0.2528,0.0394,,0
288,79.8,0.165,1.433,6.67,26.91,0.0005,0.3109,0.1452,,0
289,106.3,-1.123,1.537,30.03,28.87,-0.2977,0.3335,0.1099,,0
290,115.9,-0.475,1.419,21.24,26.65,-0.2083,0.3078,0.1724,,0
291,125.7,0.597,1.41,3.84,26.48,-0.0086,0.3059,0.1374,,0
292,135.7,-0.718,1.504,-2.8,28.25,-0.1541,0.3264,0.2148,,0
293,162.4,0.243,0.873,53.09,16.39,0.2092,0.1894,0.1615,,0
294,154.6,0.471,0.856,56.91,16.08,0.2715,0.1857,0.1355,,0
295,147.2,0.314,0.741,50.5,13.92,0.1532,0.1609,0.1641,,0
296,140.1,-0.714,0.949,47.58,17.82,-0.0539,0.2059,0.1166,,0
297,25.8,-0.142,1.066,19.76,20.03,0.071,0.2314,0.1463,,0
298,23.9,-1.411,1.128,39.37,21.18,-0.0614,0.2447,0.1269,,0
299,2.8,0.736,1.329,50.15,24.96,0.002,0.2883,0.078,,0
300,25.5,0.571,1.145,51.79,21.51,0.0591,0.2485,0.1036,,0
301,77.7,1.046,1.036,29.67,19.47,0.3059,0.2249,0.0581,,0
302,83.3,2.126,1.236,18.64,23.21,-0.1132,0.2681,0.1172,,0
303,90.0,1.146,1.438,10.75,27.01,0.1254,0.312,0.1276,,0
304,97.4,0.633,1.457,25.72,27.37,0.4563,0.3162,0.1431,,0
305,114.1,0.06,1.44,1.23,27.04,-0.1495,0.3124,0.2009,,0
306,161.8,2.259,1.082,67.8,20.31,0.295,0.2347,0.0285,,0
307,153.1,0.849,0.818,64.74,15.36,0.2162,0.1774,0.1481,,0
308,144.8,0.614,0.81,53.88,15.21,0.2865,0.1757,0.134,,0
309,136.9,0.17,0.765,53.7,14.37,0.2022,0.1661,0.1567,,0
310,129.4,-0.392,0.864,54.67,16.22,0.1866,0.1874,0.0892,,0
311,96.6,-0.373,1.217,52.84,22.85,0.1925,0.264,0.078,,0
312,88.1,-0.748,1.049,37.9,19.71,0.0372,0.2276,0.138,,0
313,16.3,1.294,1.283,15.3,24.09,0.0483,0.2783,0.1186,,0
314,12.7,-0.106,1.056,19.74,19.83,0.132,0.2291,0.1089,,0
315,10.2,-0.651,1.113,18.15,20.9,0.1335,0.2415,0.1442,,0
316,4.2,1.106,1.336,37.81,25.09,-0.5001,0.2899,0.1,,0
317,68.3,2.082,1.174,40.41,22.05,-0.4938,0.2548,0.0879,,0
318,77.3,0.874,1.243,30.99,23.34,-0.3131,0.2696,0.1029,,0
319,86.6,1.531,1.33,33.61,24.97,0.0938,0.2885,0.2504,,0
320,140.3,0.446,1.33,8.64,24.98,-0.0668,0.2886,0.0892,,0
321,153.7,1.159,1.071,75.88,20.11,0.5191,0.2323,0.1395,,0
322,144.6,1.121,0.902,62.66,16.93,0.4294,0.1956,0.1434,,0
323,135.7,0.463,0.773,49.85,14.52,0.2328,0.1678,0.2193,,0
324,127.2,0.52,0.937,54.17,17.61,0.2086,0.2034,0.0808,,0
325,119.2,-0.083,0.82,33.66,15.4,0.1751,0.1779,0.0914,,0
326,111.6,1.09,0.966,39.6,18.14,0.1412,0.2096,0.1742,,0
327,104.7,-0.206,0.836,40.58,15.71,0.3054,0.1815,0.0818,,0
328,87.9,-0.536,1.054,40.67,19.8,0.0439,0.2287,0.226,,0
329,0.5,0.871,1.153,19.96,21.65,0.1252,0.2501,0.1984,,0
330,3.6,-0.113,1.089,10.67,20.46,0.1715,0.2364,0.154,,0
331,12.3,0.534,1.314,74.08,24.67,-0.4913,0.285,0.066,,0
332,77.2,1.789,1.356,40.11,25.47,-0.6444,0.2942,0.1268,,0
333,85.6,1.911,1.295,16.53,24.32,-0.3239,0.281,0.0659,,0
334,94.4,2.178,1.254,22.91,23.55,0.1065,0.272,0.0615,,0
335,100.0,2.381,1.303,22.62,24.48,0.0306,0.2828,0.3389,,0
336,146.6,1.689,0.949,55.64,17.83,0.4782,0.2059,0.112,,0
337,136.9,0.91,0.865,72.54,16.25,0.4815,0.1877,0.1572,,0
338,127.6,0.394,0.881,60.1,16.56,0.3619,0.1913,0.1014,,0
339,118.5,-0.575,0.772,48.95,14.5,0.2235,0.1675,0.1357,,0
340,109.7,0.384,0.806,40.16,15.15,0.3621,0.175,0.2554,,0
