idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
123,219.4,1.039,1.177,-4.7,22.05,-0.584,0.2555,0.1814,,0
124,31.1,-1.272,1.203,-53.95,22.53,-0.61,0.2611,0.1804,,0
125,251.9,-0.3,0.688,58.83,12.89,0.3962,0.1493,0.2007,,0
126,457.7,0.441,0.185,39.47,3.47,0.5049,0.0402,0.8223,,1
127,260.8,0.646,0.242,38.51,4.54,0.3496,0.0526,0.7922,,1
128,187.5,-0.418,0.355,37.35,6.66,0.5,0.0771,0.7201,,1
129,437.0,-0.141,0.56,16.16,10.48,0.1576,0.1214,0.5655,,1
130,253.7,1.988,0.361,19.52,6.76,0.3933,0.0783,0.4972,,1
131,334.3,0.945,1.298,-93.43,24.31,-1.3515,0.2816,0.2993,,0
132,0.6,1.606,0.824,6.86,15.44,-0.0267,0.1789,0.5967,,1
133,456.9,-0.174,0.507,4.54,9.5,0.2911,0.1101,0.6227,,1
134,656.5,-1.329,1.368,-1.55,25.62,-0.2442,0.2968,0.0654,,0
135,73.5,-1.057,1.111,-9.16,20.81,-0.649,0.2411,0.0639,,0
136,82.9,0.59,0.498,39.12,9.33,0.5667,0.1081,0.6272,,1
137,467.0,0.774,0.527,4.08,9.88,0.3681,0.1145,0.6405,,1
138,32.0,-1.119,1.27,-54.34,23.79,-0.6254,0.2756,0.0608,,0
139,6.6,1.881,0.833,11.87,15.61,-0.0539,0.1808,0.5962,,1
140,254.1,0.282,0.394,31.65,7.37,0.4241,0.0854,0.469,,1
141,15.9,1.768,0.823,8.42,15.42,0.0284,0.1787,0.5992,,1
142,206.4,-0.167,0.293,37.12,5.49,0.2852,0.0636,0.6184,,1
143,639.7,-2.229,1.419,-13.8,26.57,-0.4276,0.3078,0.1389,,0
144,426.6,0.747,0.514,14.61,9.63,0.4239,0.1116,0.7051,,1
145,255.5,0.6,0.428,46.28,8.02,0.6949,0.0929,0.7996,,1
