idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
116,109.2,0.018,0.141,-23.77,2.86,-0.0269,0.0306,0.8959,,1
117,350.7,-0.201,0.775,8.14,15.73,0.0414,0.1681,0.1486,,0
118,243.6,-0.08,1.078,152.2,21.87,-0.023,0.2337,0.1643,,0
119,249.6,-0.774,0.289,-15.87,5.87,-0.3227,0.0627,0.6442,,1
120,335.5,-1.706,0.52,26.38,10.55,-0.0278,0.1127,0.4052,,1
121,216.0,-0.212,1.53,63.37,31.06,0.3099,0.3319,0.1114,,0
122,326.8,-1.115,0.369,-3.14,7.49,-0.0873,0.0801,0.7832,,1
123,235.7,-0.052,0.141,-24.57,2.86,-0.0368,0.0305,0.8957,,1
124,508.7,0.244,0.666,-7.76,13.52,-0.222,0.1445,0.5374,,1
125,544.4,0.116,1.206,39.18,24.48,-0.5129,0.2616,0.1083,,0
126,253.8,-1.979,0.398,-15.18,8.07,-0.2456,0.0862,0.7,,1
127,73.5,-1.943,0.865,50.22,17.55,-0.2094,0.1875,0.2583,,0
128,266.8,-2.091,0.476,-15.93,9.66,-0.2279,0.1032,0.5078,,1
129,207.6,1.606,1.527,112.2,30.99,-0.0617,0.3312,0.1705,,0
130,391.8,-0.902,0.25,-1.33,5.07,-0.1399,0.0541,0.8073,,1
131,384.6,-0.125,1.48,121.68,30.04,-0.2157,0.321,0.0646,,0
132,145.2,-0.226,0.144,-20.39,2.92,-0.0279,0.0312,0.8949,,1
133,52.0,-0.973,0.17,-14.59,3.44,-0.0679,0.0368,0.8517,,1
134,130.4,-0.618,0.107,-20.01,2.18,-0.095,0.0233,0.9381,,1
135,376.6,0.17,0.577,-15.68,11.71,0.1025,0.1252,0.5959,,1
136,227.9,1.469,1.614,78.25,32.77,0.0208,0.3501,0.1461,,0
137,300.6,0.786,0.208,-32.42,4.22,-0.1985,0.0451,0.8048,,1
138,69.5,-2.021,0.92,56.81,18.67,-0.1284,0.1995,0.04,,0
139,495.8,0.325,0.673,-11.21,13.65,-0.2439,0.1459,0.4834,,1
140,294.1,0.362,1.024,136.41,20.78,-0.1947,0.222,0.1866,,0
141,208.1,0.141,1.028,151.55,20.86,-0.0635,0.2229,0.1571,,0
142,221.2,0.327,1.066,153.32,21.63,-0.1538,0.2311,0.1664,,0
143,305.1,0.72,0.178,-27.18,3.61,-0.0661,0.0386,0.8465,,1
144,338.3,-1.359,0.544,7.49,11.04,-0.1344,0.118,0.4774,,1
145,17.4,-1.041,0.686,23.21,13.92,0.0049,0.1488,0.5116,,1
146,324.8,-0.216,1.359,148.96,27.59,0.2285,0.2948,0.1447,,0
147,561.4,0.5,1.061,25.24,21.53,-0.1368,0.2301,0.1347,,0
148,352.0,-0.855,0.617,-2.32,12.52,-0.0594,0.1338,0.3548,,1
149,464.7,0.575,0.358,3.44,7.27,-0.0,0.0777,0.6232,,1
150,394.1,0.334,1.453,123.22,29.5,-0.324,0.3152,0.1213,,0
151,568.6,0.349,1.085,28.1,22.03,-0.2274,0.2354,0.1424,,0
152,270.8,-0.733,0.567,-25.04,11.51,0.1037,0.123,0.529,,1
153,16.3,-2.216,0.945,71.34,19.18,-0.3754,0.2049,0.2615,,0
154,324.6,-1.054,0.521,-8.05,10.58,-0.3313,0.1131,0.4719,,1
155,287.6,1.31,0.275,-27.33,5.59,-0.1588,0.0597,0.6807,,1
156,441.4,-1.554,0.27,-17.8,5.47,-0.0968,0.0585,0.7726,,1
157,87.1,0.399,0.236,-19.81,4.79,-0.1484,0.0512,0.7217,,1
158,354.7,-0.724,0.6,9.25,12.18,0.1837,0.1302,0.3655,,1
159,269.8,-0.623,1.065,175.89,21.62,0.1398,0.231,0.0928,,0
160,317.9,0.709,0.206,-30.37,4.18,-0.1164,0.0447,0.8067,,1
161,32.4,-1.474,1.079,149.16,21.9,-0.1384,0.234,0.1188,,0
162,149.1,-0.621,0.49,-5.93,9.94,0.0717,0.1062,0.4065,,1
163,279.7,-2.109,0.632,18.06,12.82,-0.0628,0.137,0.452,,1
