idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
1305,467.1,-0.544,0.439,9.83,8.25,0.1181,0.0952,0.4585,,1
1306,270.4,1.536,0.806,7.23,15.16,0.0416,0.1749,0.2941,,0
1307,260.6,1.536,0.806,7.3,15.17,0.0417,0.175,0.2947,,0
1308,31.0,-0.169,0.395,1.57,7.43,0.0452,0.0857,0.561,,1
1309,250.7,1.566,0.85,6.46,15.98,-0.0913,0.1843,0.0406,,0
1310,126.9,-0.192,0.404,-10.14,7.6,0.1013,0.0877,0.5499,,1
1311,898.9,-0.492,0.475,19.98,8.94,-0.0848,0.1031,0.3918,,1
1312,739.6,0.109,0.132,6.79,2.49,-0.1138,0.0287,0.9112,,1
1313,203.7,-0.546,0.573,3.84,10.78,0.2269,0.1244,0.2954,,0
1314,266.1,0.466,0.26,7.37,4.89,-0.0014,0.0564,0.7818,,1
1315,322.0,-0.475,0.259,-9.45,4.88,-0.0768,0.0562,0.6972,,1
1316,557.5,2.231,0.806,4.77,15.17,0.0984,0.175,0.0856,,0
1317,313.4,1.255,0.516,-42.09,9.7,0.1123,0.1119,0.5237,,1
1318,491.9,0.668,0.528,10.08,9.93,-0.3246,0.1145,0.5969,,1
1319,45.4,0.207,0.483,0.25,9.08,-0.0108,0.1047,0.3912,,1
1320,38.9,0.267,1.274,7.1,23.96,0.2603,0.2764,0.0413,,0
1321,97.3,0.247,0.254,1.46,4.77,0.0283,0.055,0.7973,,1
1322,254.7,-0.125,0.511,21.19,9.61,0.3581,0.1109,0.491,,1
1323,121.8,0.458,0.523,-20.62,9.84,-0.4171,0.1135,0.2074,,0
1324,245.1,-0.139,0.157,-2.38,2.95,-0.1627,0.034,0.8812,,1
1325,773.4,-0.29,1.217,15.71,22.89,-0.1461,0.2641,0.2969,,0
1326,821.5,-0.239,0.196,9.07,3.69,-0.1954,0.0426,0.8285,,1
1327,198.3,0.052,0.599,26.97,11.27,0.0482,0.13,0.1035,,0
1328,593.7,0.139,0.408,31.58,7.68,0.0218,0.0886,0.526,,1
1329,182.9,0.093,0.662,-6.74,12.45,-0.1823,0.1436,0.096,,0
1330,70.0,0.074,0.623,6.94,11.72,-0.1388,0.1352,0.4237,,1
1331,124.2,-0.167,0.341,-9.14,6.42,0.211,0.074,0.6343,,1
1332,585.5,-0.326,0.179,4.39,3.37,-0.1885,0.0389,0.8522,,1
1333,171.6,0.796,0.424,-1.88,7.98,0.0374,0.092,0.4837,,1
1334,192.0,0.475,0.368,-9.52,6.92,0.0744,0.0798,0.6737,,1
1335,226.6,0.866,0.267,18.45,5.02,0.0573,0.0579,0.7389,,1
1336,290.5,1.596,0.465,-22.56,8.75,-0.0283,0.101,0.45,,1
1337,385.4,-0.623,0.413,-9.7,7.77,-0.2374,0.0897,0.6134,,1
1338,586.7,0.415,0.195,22.38,3.68,-0.0264,0.0424,0.8304,,1
1339,232.0,0.286,0.825,44.46,15.53,0.127,0.1791,0.1512,,0
