idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
168,262.9,0.734,0.379,-27.87,7.15,-0.546,0.0822,0.4686,,1
169,46.8,-0.456,0.27,-55.51,5.1,-0.7739,0.0587,0.7126,,1
170,74.2,-0.082,0.373,-42.01,7.03,-0.4525,0.0809,0.6979,,1
171,401.4,-0.344,0.503,-24.92,9.48,-0.4863,0.1091,0.4007,,1
172,173.8,0.632,1.236,25.42,23.31,-0.4,0.2682,0.0882,,0
173,770.9,0.779,0.552,-24.2,10.42,0.3072,0.1198,0.4669,,1
174,504.8,0.379,0.342,-57.56,6.45,-0.3973,0.0742,0.5631,,1
175,515.5,0.315,0.412,-51.55,7.78,-0.2814,0.0894,0.3993,,1
176,184.1,-0.765,0.198,-17.98,3.73,-0.3482,0.0429,0.8202,,1
177,451.1,1.032,0.473,-22.27,8.93,-0.2455,0.1027,0.542,,1
178,328.0,0.922,0.271,8.72,5.11,-0.1687,0.0588,0.6981,,1
179,389.3,-0.972,1.032,-5.74,19.48,-0.5822,0.224,0.039,,0
180,190.3,0.116,0.195,-4.42,3.69,-0.1748,0.0424,0.8164,,1
181,53.7,-0.403,0.38,-48.01,7.17,-0.4521,0.0825,0.6486,,1
182,836.3,0.522,0.495,-9.75,9.34,-0.0339,0.1074,0.5448,,1
183,409.7,-0.044,0.766,-29.55,14.45,-0.4587,0.1662,0.1481,,0
184,830.2,0.386,0.492,-10.75,9.28,-0.1031,0.1068,0.5377,,1
185,819.4,0.918,0.901,57.36,17.0,0.3223,0.1956,0.0386,,0
186,818.6,0.269,0.506,-7.09,9.55,-0.1265,0.1099,0.5133,,1
187,53.3,2.779,0.653,-30.79,12.33,-0.1931,0.1418,0.3634,,1
188,222.4,0.211,0.188,-30.35,3.55,-0.3793,0.0408,0.8211,,1
189,866.2,0.662,0.719,11.11,13.57,0.1773,0.1561,0.0723,,0
190,367.6,0.884,0.528,-5.91,9.97,-0.2234,0.1147,0.2995,,0
191,462.1,0.719,0.579,-16.08,10.92,-0.4119,0.1257,0.4923,,1
192,1107.3,1.498,0.703,24.32,13.27,1.3489,0.1526,0.1016,,0
193,41.0,-0.1,0.439,-28.27,8.28,-0.4078,0.0953,0.6543,,1
194,196.5,0.385,0.581,-5.65,10.96,0.0323,0.1261,0.1002,,0
195,369.9,2.48,0.475,24.43,8.96,-0.03,0.103,0.4772,,1
196,724.8,-1.645,1.137,-1.19,21.45,0.3486,0.2467,0.0632,,0
197,961.8,0.491,0.852,-19.95,16.08,0.386,0.1849,0.1895,,0
198,138.7,0.116,0.57,34.32,10.76,0.2731,0.1237,0.1619,,0
199,58.9,-1.369,0.442,-41.78,8.34,-0.7396,0.0959,0.335,,0
200,104.3,1.177,0.922,-65.8,17.4,-0.4561,0.2001,0.2444,,0
201,825.5,1.156,0.921,62.03,17.38,0.1518,0.1999,0.138,,0
202,824.8,0.526,0.491,-7.46,9.26,-0.0261,0.1065,0.54,,1
203,61.1,0.14,0.728,-24.2,13.73,-0.3627,0.158,0.7229,,1
204,405.4,0.234,0.589,-23.53,11.11,-0.6052,0.1278,0.3578,,1
205,76.1,-0.145,0.283,-31.95,5.34,-0.4485,0.0614,0.7618,,1
206,187.3,0.943,0.25,-44.82,4.72,-0.7376,0.0543,0.756,,1
207,738.8,0.243,0.444,3.15,8.38,0.2051,0.0964,0.5645,,1
208,339.0,1.175,0.263,7.41,4.95,-0.1236,0.057,0.7124,,1
209,731.7,-2.321,1.24,13.97,23.39,0.1454,0.269,0.1562,,0
210,321.2,0.534,0.29,7.28,5.47,-0.2729,0.0629,0.6354,,1
211,31.0,-0.251,0.376,-19.4,7.1,-0.3043,0.0817,0.6714,,1
212,59.1,0.636,0.569,-26.92,10.72,-0.3358,0.1234,0.6211,,1
213,393.3,1.16,0.577,19.21,10.89,0.3496,0.1252,0.2457,,0
214,381.1,2.501,0.736,16.78,13.88,0.3243,0.1596,0.1305,,0
215,459.1,0.86,0.443,-1.67,8.36,-0.4039,0.0961,0.4815,,1
216,88.0,2.394,0.541,-62.86,10.21,-0.7716,0.1175,0.255,,0
217,813.3,0.926,0.969,86.07,18.28,0.3496,0.2102,0.1262,,0
218,396.2,0.692,0.672,2.28,12.68,0.4962,0.1458,0.1182,,0
219,85.7,-0.598,0.865,-38.15,16.31,-0.4059,0.1876,0.4841,,1
220,82.1,-0.261,0.408,-62.79,7.7,-0.6584,0.0886,0.5935,,1
221,356.5,1.644,0.64,-29.01,12.06,-0.3952,0.1388,0.1573,,0
222,70.9,-0.509,0.426,-43.28,8.03,-0.7803,0.0923,0.3994,,1
223,344.8,3.116,0.633,15.92,11.94,0.3265,0.1374,0.1935,,0
224,400.8,1.371,0.68,-9.7,12.83,0.5048,0.1476,0.1963,,0
225,1084.1,1.187,0.721,28.32,13.6,1.2084,0.1565,0.0515,,0
226,332.1,1.134,0.404,3.28,7.63,-0.1788,0.0877,0.4674,,1
227,196.6,1.497,1.28,1.18,24.15,-0.3256,0.2777,0.0215,,0
228,378.6,0.61,0.455,-19.15,8.59,-0.1991,0.0988,0.4479,,1
229,8.5,0.139,0.661,-2.81,12.46,-0.3496,0.1434,0.3879,,1
230,197.0,0.398,1.246,2.21,23.5,-0.3833,0.2704,0.1346,,0
231,185.4,0.399,1.243,2.21,23.45,-0.3834,0.2697,0.1316,,0
232,486.8,0.72,0.617,-48.85,11.64,-0.3878,0.1339,0.0869,,0
233,103.5,0.343,0.705,-55.17,13.3,-0.7231,0.153,0.3602,,1
234,32.9,-0.473,0.482,-4.78,9.08,-0.2025,0.1045,0.5296,,1
235,819.9,1.63,0.969,58.98,18.28,0.2317,0.2103,0.0793,,0
236,43.1,0.091,0.498,-57.55,9.4,-0.8061,0.1081,0.4486,,1
237,444.3,0.647,0.412,-25.44,7.78,-0.4352,0.0894,0.5095,,1
238,379.0,0.797,0.729,9.12,13.76,0.417,0.1583,0.1326,,0
239,64.7,-0.285,0.296,-37.2,5.58,-0.546,0.0642,0.8258,,1
240,66.3,0.324,0.505,-44.51,9.52,-0.4793,0.1096,0.417,,1
241,529.6,-0.661,0.553,-12.2,10.43,0.1516,0.12,0.2265,,0
242,709.7,-1.317,1.269,9.19,23.94,0.4159,0.2754,0.0929,,0
243,897.4,0.379,1.024,1.35,19.31,0.6168,0.2221,0.2281,,0
244,111.7,0.492,0.409,-33.41,7.71,-0.5249,0.0887,0.6036,,1
245,727.4,0.237,0.451,10.84,8.51,0.2446,0.0979,0.5605,,1
246,453.8,1.32,0.565,1.43,10.66,-0.4406,0.1226,0.3426,,0
247,427.9,0.395,0.541,-45.23,10.21,-0.1183,0.1175,0.1605,,0
248,107.5,-0.077,0.67,-19.23,12.63,-0.5108,0.1453,0.1445,,0
249,969.5,-0.207,0.908,14.05,17.13,-0.2543,0.197,0.2081,,0
250,464.8,0.555,0.606,12.59,11.43,-0.4616,0.1314,0.2748,,0
251,163.5,-1.122,0.605,-24.5,11.41,0.0802,0.1312,0.4118,,1
252,508.4,-0.538,0.395,-25.92,7.45,-0.3117,0.0857,0.5103,,1
253,356.8,1.131,0.321,-22.67,6.06,-0.2093,0.0697,0.5679,,1
254,197.3,0.512,0.777,24.39,14.65,-0.1402,0.1685,0.3171,,0
255,404.1,3.086,0.745,-4.76,14.06,0.216,0.1618,0.0843,,0
256,423.9,3.087,0.748,-4.72,14.11,0.2156,0.1624,0.0861,,0
257,437.6,3.087,0.749,-4.7,14.13,0.2154,0.1626,0.0864,,0
258,430.8,3.087,0.749,-4.71,14.12,0.2155,0.1625,0.0863,,0
259,436.1,1.275,0.598,-16.31,11.29,-0.4441,0.1298,0.5202,,1
260,831.5,0.423,0.916,71.75,17.28,0.3827,0.1988,0.0976,,0
261,84.0,0.424,0.785,-50.59,14.82,-0.4974,0.1704,0.2834,,0
262,73.8,-0.484,0.559,-8.43,10.55,-0.1724,0.1213,0.3912,,1
263,71.5,-0.432,0.358,-55.02,6.75,-0.6103,0.0776,0.6917,,1
264,722.1,0.094,0.505,-0.7,9.53,0.12,0.1096,0.4522,,1
265,431.5,0.007,0.449,-23.89,8.47,-0.4042,0.0975,0.6243,,1
266,909.5,1.218,1.294,-27.17,24.41,0.8431,0.2808,0.1279,,0
267,56.9,-0.478,0.554,-6.63,10.44,-0.2031,0.1201,0.3849,,1
268,738.5,-1.885,1.37,3.94,25.84,0.4388,0.2972,0.1944,,0
269,234.5,0.09,0.225,-33.57,4.25,-0.5261,0.0489,0.761,,1
270,903.5,1.082,1.096,-14.24,20.67,0.7562,0.2377,0.1933,,0
271,214.3,1.14,1.039,-11.34,19.6,-0.3622,0.2255,0.2721,,0
272,227.3,0.383,0.207,-35.46,3.9,-0.5346,0.0449,0.8001,,1
273,220.3,-0.018,1.065,10.2,20.09,-0.3955,0.231,0.1244,,0
274,352.2,2.156,0.421,19.08,7.95,0.1047,0.0914,0.5032,,1
275,831.0,1.59,0.9,90.3,16.97,0.3072,0.1952,0.1652,,0
276,42.6,-0.223,0.417,-14.14,7.87,-0.1828,0.0906,0.5551,,1
277,58.4,-0.254,0.574,-39.85,10.84,-0.4101,0.1246,0.5178,,1
278,501.9,1.219,0.469,-44.16,8.84,-0.4163,0.1017,0.3837,,1
279,60.3,-1.282,0.414,-27.03,7.82,-0.4021,0.0899,0.5926,,1
280,414.1,1.568,0.649,-13.0,12.24,-0.0649,0.1408,0.3655,,1
281,426.2,0.04,0.363,-31.03,6.84,-0.3452,0.0787,0.7206,,1
282,420.8,0.514,0.428,-28.52,8.07,-0.2745,0.0928,0.6938,,1
283,149.6,0.973,0.528,36.28,9.96,0.2266,0.1146,0.1668,,0
284,927.3,0.659,1.298,-27.43,24.48,0.817,0.2816,0.0654,,0
285,724.7,-0.777,1.16,59.0,21.88,0.338,0.2517,0.1094,,0
286,184.9,1.189,1.164,9.39,21.96,-0.3895,0.2526,0.0467,,0
287,713.9,-1.664,1.178,-13.04,22.21,0.1228,0.2555,0.1993,,0
288,208.7,0.04,1.084,7.43,20.45,-0.3799,0.2353,0.1136,,0
289,494.1,0.032,0.336,-49.52,6.34,-0.3393,0.073,0.6361,,1
290,202.6,1.277,1.11,-3.36,20.93,-0.2104,0.2408,0.0628,,0
291,715.9,0.297,0.483,14.43,9.11,0.269,0.1048,0.5416,,1
292,32.4,0.023,0.591,-39.88,11.15,-0.7746,0.1283,0.2385,,0
293,60.9,-0.463,0.365,-53.57,6.88,-0.5187,0.0791,0.6526,,1
294,480.0,1.158,0.544,-29.94,10.27,-0.0876,0.1181,0.4881,,1
295,398.2,1.508,0.606,-15.86,11.42,0.1885,0.1314,0.2557,,0
296,486.8,0.445,0.441,-39.62,8.33,-0.6283,0.0958,0.7524,,1
297,220.2,-0.319,0.429,-29.74,8.09,-0.5098,0.093,0.5303,,1
298,475.9,1.297,0.411,-36.41,7.75,-0.1477,0.0891,0.5691,,1
299,247.8,0.214,0.541,-32.24,10.2,-0.4364,0.1174,0.2345,,0
300,837.1,0.976,0.847,60.22,15.98,0.265,0.1838,0.1169,,0
301,523.4,-0.566,0.489,-14.22,9.22,0.0474,0.1061,0.333,,0
302,78.6,-0.681,0.364,-61.03,6.87,-0.5027,0.0791,0.6342,,1
303,491.4,-0.303,0.539,-20.08,10.18,-0.499,0.1171,0.5668,,1
304,317.5,2.217,0.601,31.03,11.33,0.1289,0.1304,0.1141,,0
305,456.7,1.414,0.345,-31.23,6.5,0.0094,0.0748,0.6375,,1
306,191.0,0.17,1.081,11.58,20.39,-0.4021,0.2346,0.1204,,0
307,398.6,2.144,0.608,10.45,11.46,0.1668,0.1318,0.11,,0
308,704.4,-0.356,0.488,0.33,9.21,0.0838,0.1059,0.5202,,1
309,478.8,-0.816,0.546,-17.51,10.3,-0.5491,0.1185,0.4981,,1
310,392.2,2.37,0.656,-15.74,12.37,0.0853,0.1423,0.1286,,0
311,399.4,2.371,0.659,-15.71,12.43,0.0851,0.1429,0.1317,,0
312,50.2,-0.845,0.42,-50.1,7.92,-0.5053,0.0911,0.6693,,1
313,417.2,2.218,0.708,-11.89,13.35,0.0039,0.1536,0.0754,,0
314,409.9,2.217,0.705,-11.92,13.3,0.0042,0.153,0.0734,,0
315,199.7,1.042,0.568,-47.22,10.72,-0.7004,0.1233,0.2148,,0
316,94.0,-0.633,0.502,-44.41,9.47,-0.6131,0.109,0.4856,,1
317,40.8,0.057,0.389,-20.38,7.33,-0.2507,0.0844,0.6317,,1
318,68.0,-0.971,0.612,-47.71,11.54,-0.7055,0.1327,0.3153,,0
319,409.3,0.278,0.369,-22.12,6.96,-0.407,0.0801,0.6588,,1
320,1101.8,1.688,0.696,15.47,13.12,1.2848,0.1509,0.1041,,0
321,89.3,-0.535,0.357,-60.84,6.73,-0.6243,0.0774,0.6849,,1
322,96.9,1.799,1.006,18.36,18.99,-0.4449,0.2184,0.1871,,0
323,44.8,0.135,0.469,-12.01,8.86,-0.2671,0.1019,0.4195,,1
324,120.7,0.261,0.58,-33.66,10.94,-0.6323,0.1259,0.1434,,0
325,43.8,-0.614,0.544,-5.65,10.26,-0.2468,0.118,0.4096,,1
326,921.2,1.19,1.099,-24.65,20.74,0.7903,0.2385,0.2348,,0
327,39.5,0.047,0.587,-55.0,11.07,-0.3677,0.1273,0.3063,,0
328,78.6,-0.251,0.62,-11.4,11.69,-0.2607,0.1345,0.2064,,0
329,357.8,3.006,0.642,14.75,12.1,0.3394,0.1392,0.1349,,0
330,363.6,1.013,0.326,-12.84,6.15,-0.3682,0.0707,0.6116,,1
