idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
131,44.4,-1.425,0.89,37.5,17.14,0.059,0.1937,0.0734,,0
132,59.9,-1.555,0.973,10.09,18.73,-0.9243,0.2117,0.1122,,0
133,518.5,0.738,1.397,18.95,26.9,-0.2629,0.304,0.0382,,0
134,69.6,0.885,1.293,9.56,24.89,0.7176,0.2813,0.1681,,0
135,398.2,-0.124,0.902,22.28,17.37,-0.262,0.1963,0.5078,,1
136,58.5,0.277,1.043,16.21,20.08,0.6678,0.2269,0.4034,,1
137,67.1,0.219,1.222,-0.45,23.53,0.6658,0.266,0.0266,,0
138,26.1,-1.096,0.485,-5.74,9.34,-0.2146,0.1055,0.3765,,1
139,147.0,-0.626,0.603,-21.8,11.61,-0.3183,0.1312,0.4695,,1
140,233.6,-0.636,0.934,-33.13,17.98,-0.5989,0.2032,0.1158,,0
141,22.8,-1.308,1.231,-5.34,23.71,0.1168,0.268,0.1465,,0
142,67.0,-1.12,0.551,4.63,10.62,-0.4518,0.12,0.4038,,1
143,168.1,-0.739,0.86,-2.25,16.57,-0.6561,0.1873,0.2827,,0
144,27.9,-0.607,0.376,-18.44,7.24,-0.5604,0.0818,0.5194,,1
145,311.5,-1.023,1.135,4.07,21.85,-0.2965,0.247,0.106,,0
146,128.4,-0.97,0.525,-19.22,10.11,-0.4351,0.1143,0.5398,,1
147,424.9,1.513,1.61,-49.85,31.0,-0.3617,0.3504,0.1467,,0
148,485.8,-0.651,0.31,29.98,5.98,0.2691,0.0676,0.6797,,1
149,122.1,-1.736,0.576,-20.12,11.1,-0.5255,0.1254,0.3857,,1
150,482.8,-1.189,0.202,25.86,3.89,0.296,0.044,0.8078,,1
