idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
167,717.7,-4.292,1.999,72.96,18.27,-0.6058,0.2619,0.1872,,0
168,608.0,3.158,1.077,-158.22,9.84,-1.3489,0.1411,0.3093,,0
169,192.5,-0.517,1.153,-14.16,10.54,0.2733,0.1511,0.2589,,0
170,549.5,-3.601,2.125,117.73,19.42,0.3631,0.2784,0.0741,,0
171,693.5,5.078,1.616,-173.64,14.77,-1.5092,0.2117,0.5058,,1
172,403.8,2.916,1.613,-138.54,14.73,-0.8128,0.2112,0.2245,,0
173,303.9,0.928,1.834,90.3,16.76,0.2769,0.2403,0.2391,,0
174,239.2,4.591,2.091,-133.59,19.11,-0.8786,0.2739,0.2494,,0
175,134.3,1.217,2.106,-0.55,19.24,-0.1044,0.2758,0.1107,,0
176,14.5,-4.203,1.848,-39.25,16.89,-0.5947,0.2421,0.1891,,0
177,46.3,-2.369,1.951,-43.96,17.83,-0.6138,0.2556,0.1368,,0
178,43.2,1.854,2.05,24.95,18.74,-0.1168,0.2686,0.2923,,0
179,603.7,4.338,3.546,-80.71,32.4,-0.8385,0.4645,0.1977,,0
180,96.1,-1.571,1.125,63.46,10.28,0.0188,0.1473,0.3852,,1
181,195.7,1.92,1.453,62.98,13.28,0.3764,0.1904,0.107,,0
182,414.9,4.287,1.367,-147.96,12.5,-1.2009,0.1791,0.196,,0
183,670.4,-4.59,1.962,69.25,17.93,-0.3284,0.2571,0.2234,,0
184,617.8,4.852,2.771,-93.13,25.32,-1.5725,0.363,0.2512,,0
185,688.1,2.628,1.569,-155.02,14.33,-1.6193,0.2055,0.3333,,0
186,539.2,-2.373,1.874,157.77,17.13,0.3652,0.2455,0.1965,,0
187,214.5,0.489,1.093,-1.85,9.99,0.3727,0.1431,0.3313,,0
188,65.5,-2.551,2.819,16.39,25.76,-0.6313,0.3693,0.1937,,0
189,577.5,-3.185,2.185,-10.74,19.97,-0.9063,0.2863,0.1346,,0
190,129.4,-1.322,1.243,58.29,11.36,0.0885,0.1629,0.2724,,0
191,692.4,1.91,2.027,-196.76,18.52,-1.3786,0.2655,0.1383,,0
192,148.3,-1.329,0.978,76.46,8.94,0.5259,0.1281,0.4368,,1
193,325.4,-1.462,2.788,-77.07,25.48,-1.3345,0.3652,0.2665,,0
194,462.2,-0.548,1.966,115.89,17.96,0.1677,0.2575,0.071,,0
195,129.6,0.692,2.111,0.42,19.29,-0.1205,0.2765,0.0941,,0
196,293.4,0.286,1.669,89.88,15.25,0.3136,0.2187,0.2437,,0
197,418.9,3.422,1.302,-150.33,11.89,-1.112,0.1705,0.338,,0
198,629.1,-0.282,3.264,-91.31,29.83,-1.1145,0.4276,0.1367,,0
199,196.7,1.164,2.598,33.8,23.73,-0.4654,0.3403,0.1261,,0
200,181.5,-0.058,2.842,29.69,25.97,-0.5947,0.3723,0.3224,,0
201,13.4,-0.996,2.01,-35.27,18.36,-1.2136,0.2633,0.2679,,0
