idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
151,281.7,-2.646,0.802,-131.34,14.82,-0.961,0.1748,0.0877,,0
152,21.6,0.797,0.982,8.11,18.15,-0.1171,0.2141,0.0885,,0
153,655.3,0.241,0.999,60.44,18.46,-0.5833,0.2178,0.0461,,0
154,525.7,-1.468,0.627,-171.59,11.59,-0.8881,0.1367,0.1508,,0
155,141.3,0.974,0.849,29.52,15.7,0.1832,0.1851,0.125,,0
156,28.2,-0.258,1.312,-44.3,24.25,-0.8109,0.286,0.0742,,0
157,471.5,-1.066,1.11,45.69,20.51,-1.5934,0.2419,0.1951,,0
158,487.2,-4.795,1.148,-76.51,21.22,-1.3384,0.2502,0.1508,,0
159,505.4,-4.096,1.639,25.42,30.29,-1.2774,0.3572,0.0935,,0
160,456.8,-3.462,0.781,-158.2,14.43,-0.8677,0.1702,0.1151,,0
161,267.3,0.7,1.682,-106.1,31.08,-0.979,0.3665,0.0945,,0
162,436.1,-2.276,0.635,-170.89,11.73,-0.7503,0.1383,0.1859,,0
163,430.1,-1.645,0.807,-161.21,14.92,-0.9075,0.1759,0.2045,,0
164,527.2,-2.35,0.691,-172.22,12.77,-0.8615,0.1506,0.1219,,0
165,181.7,-0.466,0.894,5.11,16.51,-0.4038,0.1948,0.1515,,0
166,358.4,-2.44,0.945,-161.63,17.47,-0.7919,0.206,0.1832,,0
167,571.0,-3.455,0.926,-141.3,17.12,-0.5293,0.2019,0.097,,0
168,536.6,-2.447,0.593,-166.25,10.96,-0.8618,0.1293,0.0841,,0
169,57.3,0.175,1.059,39.5,19.57,-0.58,0.2308,0.0694,,0
170,143.8,0.431,0.863,35.03,15.95,0.1701,0.1881,0.1522,,0
171,455.2,-1.019,0.694,-163.92,12.82,-0.9478,0.1512,0.1372,,0
172,100.8,0.995,1.392,18.68,25.72,-0.3379,0.3033,0.2393,,0
173,296.0,-2.142,0.903,-139.71,16.69,-0.9277,0.1969,0.3082,,0
174,179.2,-0.523,1.027,-0.89,18.98,-0.2633,0.2238,0.1311,,0
175,477.7,-3.648,0.928,-141.88,17.15,-0.9523,0.2022,0.1052,,0
176,461.7,-2.512,0.833,-178.84,15.4,-0.8574,0.1816,0.1871,,0
177,476.9,-2.162,0.865,-167.23,15.99,-0.8057,0.1886,0.1361,,0
178,684.9,-1.161,1.243,-185.25,22.97,-0.8852,0.2709,0.1035,,0
179,169.0,-1.984,0.914,7.52,16.9,-0.2143,0.1993,0.1759,,0
180,24.0,-2.069,1.264,-73.54,23.36,-1.5725,0.2755,0.153,,0
181,50.6,-1.835,1.207,-51.63,22.31,-1.4045,0.2631,0.0921,,0
182,141.5,-3.109,1.05,-60.68,19.41,-1.7013,0.2289,0.1818,,0
183,186.2,-1.582,0.948,18.51,17.52,-0.1389,0.2066,0.2422,,0
184,15.1,-2.068,1.337,-73.15,24.7,-1.41,0.2913,0.1302,,0
185,109.9,-4.54,1.307,13.78,24.15,-0.7365,0.2848,0.1871,,0
186,493.8,-1.563,1.296,55.21,23.96,-1.3783,0.2826,0.1282,,0
187,495.7,-1.519,1.381,-117.32,25.52,-1.6621,0.301,0.1452,,0
188,12.6,0.539,1.007,33.59,18.6,-0.1257,0.2194,0.148,,0
189,519.5,-2.09,0.805,-167.5,14.88,-0.8115,0.1755,0.1807,,0
190,277.7,-2.107,0.824,-132.91,15.22,-0.8521,0.1795,0.1005,,0
191,527.8,-3.194,0.833,-194.71,15.39,-0.904,0.1815,0.2623,,0
192,424.7,-2.055,0.856,-146.71,15.82,-1.1426,0.1866,0.0793,,0
193,291.6,-1.484,0.906,-147.01,16.75,-0.6854,0.1976,0.1594,,0
194,24.4,0.017,0.893,23.49,16.51,-0.7283,0.1947,0.1944,,0
195,31.1,-0.754,1.132,-11.8,20.93,-0.4501,0.2468,0.1039,,0
196,512.0,-4.616,1.248,-78.91,23.07,-1.1066,0.2721,0.0532,,0
197,553.9,-4.586,1.299,-88.25,24.0,-1.1868,0.2831,0.1083,,0
198,585.0,-1.677,0.944,-135.88,17.44,-0.6023,0.2057,0.1597,,0
199,441.4,-1.327,0.937,-160.39,17.32,-1.1003,0.2043,0.2118,,0
200,146.3,-3.027,1.013,-65.95,18.72,-1.637,0.2207,0.2319,,0
201,347.3,-2.632,0.79,-169.2,14.61,-0.8386,0.1723,0.2155,,0
202,527.1,-0.687,0.993,-142.28,18.35,-0.9384,0.2164,0.1911,,0
203,39.2,-1.839,1.255,-41.4,23.2,-1.1954,0.2736,0.1729,,0
204,100.9,-4.495,1.338,16.73,24.73,-0.8682,0.2916,0.0856,,0
205,473.3,-1.031,1.139,53.06,21.06,-1.5713,0.2483,0.2016,,0
206,99.1,-1.08,0.868,-81.35,16.04,-1.4808,0.1892,0.135,,0
207,126.4,-4.674,1.351,24.99,24.97,-0.7153,0.2945,0.0839,,0
208,422.5,-2.088,0.839,-168.06,15.5,-1.1369,0.1828,0.1344,,0
209,377.3,-2.109,1.227,-58.68,22.68,-0.4667,0.2675,0.2601,,0
210,463.5,-2.707,0.718,-155.4,13.27,-0.8272,0.1565,0.1631,,0
211,26.2,-3.49,1.269,6.05,23.45,-0.8277,0.2766,0.3215,,0
212,536.7,-3.817,1.42,-66.83,26.24,-1.1037,0.3095,0.2381,,0
213,515.5,-1.115,0.724,-164.83,13.38,-1.0509,0.1578,0.0633,,0
214,567.2,-3.06,0.879,-161.17,16.24,-0.6714,0.1915,0.1513,,0
215,761.9,-1.867,1.31,68.71,24.2,-1.095,0.2854,0.0548,,0
216,276.0,-2.291,0.938,-154.65,17.33,-0.8995,0.2044,0.0647,,0
217,466.8,-3.377,0.957,-141.6,17.69,-0.927,0.2087,0.1234,,0
218,88.0,0.85,0.81,43.45,14.98,-0.4666,0.1766,0.0329,,0
219,49.5,-1.123,1.466,-70.81,27.1,-1.1474,0.3196,0.1643,,0
220,529.4,-2.371,0.583,-169.3,10.78,-0.8723,0.1272,0.1426,,0
221,271.2,-1.371,0.974,-142.85,18.0,-0.9226,0.2123,0.1907,,0
222,302.9,-1.425,0.763,-151.54,14.11,-0.8765,0.1664,0.2222,,0
223,435.8,-1.728,0.657,-171.08,12.13,-0.9443,0.1431,0.1157,,0
224,171.4,-3.189,1.178,-65.51,21.77,-1.7109,0.2567,0.0316,,0
225,408.2,-1.751,0.936,-184.67,17.29,-1.0635,0.204,0.0605,,0
226,104.4,-0.49,1.07,-47.76,19.77,-1.5564,0.2331,0.186,,0
227,571.2,-3.293,0.951,-165.78,17.58,-0.7561,0.2074,0.185,,0
228,489.5,-1.276,0.77,-155.76,14.23,-1.0333,0.1678,0.1683,,0
229,11.9,-0.201,0.776,42.71,14.35,-0.4231,0.1692,0.0213,,0
230,386.2,-2.49,1.23,-61.23,22.72,-0.4921,0.268,0.1058,,0
231,92.6,0.868,1.471,5.88,27.19,-0.1557,0.3206,0.2018,,0
232,467.4,-2.349,0.812,-158.56,15.01,-0.7695,0.1771,0.1202,,0
233,479.6,-0.857,1.265,55.61,23.38,-1.505,0.2758,0.2122,,0
234,156.4,-1.133,0.977,11.92,18.06,-0.1764,0.213,0.1799,,0
